learning_rate,hidden_size,reg_lambda,batch_size,activation,best_val_acc,final_train_loss
0.001,128,0.001,128,relu,0.311,2.2138497798682044
0.001,512,0.001,128,tanh,0.346,2.899273691310982
0.01,256,0.001,128,sigmoid,0.2695,2.679905261227158
0.0001,256,0.01,64,relu,0.2245,7.334766616993694
0.001,64,0.01,64,sigmoid,0.163,3.6119129810321695
0.01,64,0.0001,128,tanh,0.4,1.6352123515169021
0.01,128,0.0001,32,relu,0.45,1.2728930831629133
0.001,128,0.0001,128,relu,0.321,1.971434490753041
0.01,256,0.01,64,relu,0.429,4.854234979984708
0.01,256,0.01,128,tanh,0.4,5.793150296849502
0.01,256,0.01,128,sigmoid,0.2895,6.35802564893573
0.0001,128,0.01,128,tanh,0.181,4.890771373951839
0.01,128,0.0001,128,tanh,0.3985,1.627422583303433
0.01,256,0.001,32,tanh,0.4505,1.7642739340858251
0.01,128,0.001,32,relu,0.452,1.5203654756687293
0.01,64,0.0001,128,sigmoid,0.2775,2.2102918802939895
0.0001,256,0.01,32,tanh,0.2725,7.2138034808648825
0.01,128,0.0001,128,sigmoid,0.2915,2.1928061333420463
0.001,256,0.001,128,tanh,0.3335,2.425175468959753
0.01,256,0.001,128,relu,0.404,2.0670379316472425
0.001,256,0.01,32,relu,0.3675,6.522354807337918
0.01,256,0.001,32,relu,0.4545,1.6768357497406763
0.001,128,0.0001,64,tanh,0.3475,1.8539644411570548
0.01,256,0.0001,128,tanh,0.4095,1.6216764467246196
0.001,256,0.001,64,sigmoid,0.201,2.7907886289928916
0.0001,128,0.001,32,tanh,0.291,2.2871206292591766
0.01,128,0.0001,32,tanh,0.432,1.3265768174470283
0.0001,512,0.01,64,relu,0.234,12.413183028831261
0.0001,256,0.0001,64,relu,0.2235,2.203723555394315
0.0001,512,0.01,64,tanh,0.2205,12.434811502337201
0.01,64,0.001,64,tanh,0.417,1.6464710939231122
0.001,128,0.0001,128,tanh,0.332,1.9607478767848807
0.01,64,0.01,64,tanh,0.3945,2.5242455825652526
0.0001,128,0.001,128,tanh,0.202,2.4914209173017245
0.0001,128,0.0001,32,sigmoid,0.1175,2.3297652054361544
0.0001,64,0.0001,64,relu,0.194,2.26007154469204
0.001,256,0.01,128,relu,0.2915,7.054087288897383
0.01,64,0.01,64,sigmoid,0.2555,3.0396330662901923
0.0001,256,0.01,128,tanh,0.186,7.369822774393267
0.0001,128,0.001,64,sigmoid,0.105,2.574955544606924
0.01,128,0.0001,64,relu,0.435,1.4401628233835528
0.001,128,0.001,32,sigmoid,0.238,2.5166729940149795
0.0001,128,0.0001,128,relu,0.2015,2.247049342068681
0.01,64,0.001,128,relu,0.391,1.7266849971358293
0.0001,512,0.0001,128,relu,0.22,2.2834366221742233
0.001,128,0.01,32,sigmoid,0.245,4.6890109291219355
0.01,128,0.0001,64,sigmoid,0.3095,2.075444442815869
0.0001,128,0.001,64,tanh,0.2285,2.419844854653068
0.01,128,0.01,64,tanh,0.4145,3.3057343449455026
0.001,512,0.01,64,relu,0.365,11.709457756638296
0.0001,512,0.01,64,sigmoid,0.1045,12.576243977410002
0.001,256,0.01,128,sigmoid,0.185,7.3775191427386595
0.0001,256,0.0001,128,tanh,0.1525,2.3081668897024317
0.001,256,0.001,64,relu,0.347,2.345578717000401
0.0001,128,0.001,32,relu,0.27,2.3164350661832103
0.01,128,0.01,32,relu,0.4405,2.612500480080267
0.001,128,0.0001,32,relu,0.378,1.7665707296449602
0.01,64,0.001,128,sigmoid,0.254,2.323436081608658
0.01,256,0.001,64,tanh,0.429,1.9502105967909413
0.01,512,0.001,32,tanh,0.444,2.2143094886139334
0.0001,128,0.0001,64,sigmoid,0.1025,2.3604034250291903
0.0001,64,0.001,128,sigmoid,0.1015,2.537572359432414
0.001,64,0.01,128,sigmoid,0.1535,3.634851914271419
0.01,64,0.0001,64,tanh,0.4255,1.5281649037227913
0.0001,64,0.01,64,relu,0.156,3.6160987739168338
0.01,64,0.0001,32,relu,0.437,1.3367487938726799
0.001,512,0.0001,128,tanh,0.3405,1.9677610412054667
0.001,128,0.01,64,relu,0.3375,4.380027062836199
0.01,128,0.001,64,sigmoid,0.302,2.3155008479543477
0.001,64,0.0001,128,tanh,0.32,1.9392483054591227
0.01,64,0.001,32,relu,0.4375,1.493495343237753
0.01,64,0.01,128,sigmoid,0.247,3.330231172536697
0.001,64,0.0001,128,sigmoid,0.131,2.3115420837385017
0.01,128,0.001,32,tanh,0.443,1.5749876140093615
0.0001,64,0.0001,32,tanh,0.2605,2.0953558307594045
0.001,128,0.001,64,relu,0.332,2.1134294838522316
0.001,256,0.01,32,sigmoid,0.2235,7.005695486818544
0.001,128,0.001,64,tanh,0.3385,2.095780112108194
0.0001,512,0.001,128,sigmoid,0.1095,3.3504828965861053
0.01,256,0.001,128,tanh,0.41,2.090098797195942
0.01,128,0.001,128,relu,0.404,1.8400463753175622
0.0001,256,0.01,32,relu,0.286,7.241076977283797
0.01,256,0.0001,128,relu,0.4085,1.5992178491863984
0.0001,64,0.0001,32,sigmoid,0.12,2.33376393276513
0.01,128,0.001,64,relu,0.424,1.7020653865475546
